metric_ID	metric_name	deviance(decrease)	percent_decrease_of_root
X149	av5090_b4_TERM	0	0
X150	av5090_b5	0	0
X151	av5090_b5_NBR	0	0
X152	av5090_b5_NDVI	0	0
X153	av5090_b5_TERM	0	0
X154	av5090_b7	0	0
X155	av5090_b7_NBR	0	0
X156	av5090_b7_NDVI	0	0
X157	av5090_b7_TERM	2.83585242857143	0.0825283876324004
X158	av5090_NBR	0	0
X159	av5090_NDVI	0	0
X160	av7590_b3	0	0
X161	av7590_b3_NBR	0	0
X162	av7590_b3_NDVI	0	0
X163	av7590_b3_TERM	0	0
X164	av7590_b4	0	0
X165	av7590_b4_NBR	0	0
X166	av7590_b4_NDVI	0	0
X167	av7590_b4_TERM	0	0
X168	av7590_b5	0	0
X169	av7590_b5_NBR	0	0
X170	av7590_b5_NDVI	0	0
X171	av7590_b5_TERM	0	0
X172	av7590_b7	0	0
X173	av7590_b7_NBR	0	0
X174	av7590_b7_NDVI	4.53582471428571	0.132000627565012
X175	av7590_b7_TERM	0	0
X176	av7590_NBR	0	0
X177	av7590_NDVI	0	0
X178	av75max_b3	0	0
X179	av75max_b3_NBR	0	0
X180	av75max_b3_NDVI	13.8387611428571	0.402732748870592
X181	av75max_b3_TERM	0	0
X182	av75max_b4	0	0
X183	av75max_b4_NBR	0	0
X184	av75max_b4_NDVI	0	0
X185	av75max_b4_TERM	2.47343728571429	0.0719814575128267
X186	av75max_b5	0	0
X187	av75max_b5_NBR	0	0
X188	av75max_b5_NDVI	0	0
X189	av75max_b5_TERM	0	0
X190	av75max_b7	0	0
X191	av75max_b7_NBR	0	0
X192	av75max_b7_NDVI	0	0
X193	av75max_b7_TERM	0	0
X194	av75max_NBR	0	0
X195	av75max_NDVI	0	0
X196	av90max_b3	0	0
X197	av90max_b3_NBR	0	0
X198	av90max_b3_NDVI	0	0
X199	av90max_b3_TERM	0	0
X200	av90max_b4	0	0
X201	av90max_b4_NBR	7.62670457142857	0.221950770388193
X202	av90max_b4_NDVI	1.42129171428571	0.0413621358973108
X203	av90max_b4_TERM	2.27460657142857	0.0661951274145202
X204	av90max_b5	0	0
X205	av90max_b5_NBR	0	0
X206	av90max_b5_NDVI	0	0
X207	av90max_b5_TERM	0	0
X208	av90max_b7	2.797849	0.0814224197573079
X209	av90max_b7_NBR	0	0
X210	av90max_b7_NDVI	0	0
X211	av90max_b7_TERM	0	0
X212	av90max_NBR	1.69453371428571	0.0493139677579031
X213	av90max_NDVI	2.76778957142857	0.0805476365181811
X214	avmin10_b3	0	0
X215	avmin10_b3_NBR	0	0
X216	avmin10_b3_NDVI	0	0
X217	avmin10_b3_TERM	0	0
X218	avmin10_b4	0	0
X219	avmin10_b4_NBR	0	0
X220	avmin10_b4_NDVI	0	0
X221	avmin10_b4_TERM	0	0
X222	avmin10_b5	0	0
X223	avmin10_b5_NBR	2.07933985714286	0.0605125161030443
X224	avmin10_b5_NDVI	0	0
X225	avmin10_b5_TERM	2.63031442857143	0.0765468635000839
X226	avmin10_b7	0	0
X227	avmin10_b7_NBR	0	0
X228	avmin10_b7_NDVI	0	0
X229	avmin10_b7_TERM	10.84493	0.315606897548303
X230	avmin10_NBR	6.75486785714286	0.196578759636218
X231	avmin10_NDVI	0	0
X232	avmin25_b3	9.49677342857143	0.276373125369236
X233	avmin25_b3_NBR	0	0
X234	avmin25_b3_NDVI	0	0
X235	avmin25_b3_TERM	0	0
X236	avmin25_b4	0	0
X237	avmin25_b4_NBR	0	0
X238	avmin25_b4_NDVI	0	0
X239	avmin25_b4_TERM	0	0
X240	avmin25_b5	0	0
X241	avmin25_b5_NBR	12.0499097142857	0.350673966605858
X242	avmin25_b5_NDVI	0	0
X243	avmin25_b5_TERM	0	0
X244	avmin25_b7	0	0
X245	avmin25_b7_NBR	0	0
X246	avmin25_b7_NDVI	0	0
X247	avmin25_b7_TERM	0	0
X248	avmin25_NBR	0	0
X249	avmin25_NDVI	0	0
X250	avminmax_b3	0	0
X251	avminmax_b4	0	0
X252	avminmax_b5	0	0
X253	avminmax_b7	19.6413214285714	0.571597651604982
X254	avminmax_NBR	0	0
X255	avminmax_NDVI	0	0
X256	deltagain_b3	0	0
X257	deltagain_b4	0	0
X258	deltagain_b5	0	0
X259	deltagain_b7	0	0
X260	deltagain_NBR	10.069698	0.293046257101553
X261	deltagain_NDVI	4.73706442857143	0.137857063880343
X262	deltaloss_b3	0	0
X263	deltaloss_b4	0	0
X264	deltaloss_b5	2.72720914285714	0.0793666733250015
X265	deltaloss_b7	0	0
X266	deltaloss_NBR	2.18233428571429	0.0635098385446081
X267	deltaloss_NDVI	0	0
X268	first_b3	3.34874071428571	0.097454355863007
X269	first_b4	0	0
X270	first_b5	0	0
X271	first_b7	4.55155528571429	0.132458415383397
X272	first_NBR	0	0
X273	first_NDVI	0	0
X274	firstdate	0	0
X275	last_b3	0	0
X276	last_b4	0	0
X277	last_b5	0	0
X278	last_b7	0	0
X279	last_NBR	0	0
X280	last_NDVI	0	0
X281	lastdate	0	0
X282	max_b3	14.4745374285714	0.421234978121409
X283	max_b3_NBR	0	0
X284	max_b3_NDVI	0	0
X285	max_b3_TERM	1.67334757142857	0.0486974130343449
X286	max_b4	0	0
X287	max_b4_NBR	0	0
X288	max_b4_NDVI	0	0
X289	max_b4_TERM	0	0
X290	max_b5	0	0
X291	max_b5_NBR	4.78223314285714	0.1391715544102
X292	max_b5_NDVI	0	0
X293	max_b5_TERM	3.79092385714286	0.110322677730027
X294	max_b7	0	0
X295	max_b7_NBR	0	0
X296	max_b7_NDVI	0	0
X297	max_b7_TERM	0	0
X298	max_NBR	12.0523981428571	0.35074638433665
X299	max_NDVI	0	0
X300	maxgain_b3	0	0
X301	maxgain_b4	0	0
X302	maxgain_b5	0	0
X303	maxgain_b7	0	0
X304	maxgain_NBR	0	0
X305	maxgain_NDVI	15.5553047142857	0.452687242913896
X306	maxloss_b3	0	0
X307	maxloss_b4	0	0
X308	maxloss_b5	4.346901	0.126502608920446
X309	maxloss_b7	8.97846385714286	0.261289388009182
X310	maxloss_NBR	0	0
X311	maxloss_NDVI	27.9918837142857	0.814613978660864
X312	meanfirst_b3	0	0
X313	meanfirst_b4	85.4460502857143	2.48663318605381
X314	meanfirst_b5	300.032136142857	8.73147283134488
X315	meanfirst_b7	1745.90574557143	50.8089859290521
X316	meanfirst_NBR	20.8586717142857	0.607024726459668
X317	meanfirst_NDVI	5.80806128571429	0.169024991692403
X318	meanlast_b3	0	0
X319	meanlast_b4	0	0
X320	meanlast_b5	0	0
X321	meanlast_b7	0	0
X322	meanlast_NBR	0	0
X323	meanlast_NDVI	2.297329	0.0668563908054496
X324	medfirst_b3	0	0
X325	medfirst_b4	15.917646	0.463232023658258
X326	medfirst_b5	12.9752297142857	0.377602436816306
X327	medfirst_b7	1.50191314285714	0.0437083639455638
X328	medfirst_NBR	0	0
X329	medfirst_NDVI	0	0
X330	medfirstdate	0	0
X331	medlast_b3	2.65855128571429	0.0773686066445184
X332	medlast_b4	5.343493	0.155505222053169
X333	medlast_b5	2.69924228571429	0.0785527876644178
X334	medlast_b7	0	0
X335	medlast_NBR	0	0
X336	medlast_NDVI	0	0
X337	medlastdate	2.36284285714286	0.0687629614517589
X338	min_b3	0	0
X339	min_b3_NBR	0	0
X340	min_b3_NDVI	0	0
X341	min_b3_TERM	0	0
X342	min_b4	3.31264385714286	0.0964038726331382
X343	min_b4_NBR	0	0
X344	min_b4_NDVI	0	0
X345	min_b4_TERM	0	0
X346	min_b5	0	0
X347	min_b5_NBR	0	0
X348	min_b5_NDVI	0	0
X349	min_b5_TERM	0	0
X350	min_b7	6.90796414285714	0.201034135905171
X351	min_b7_NBR	0	0
X352	min_b7_NDVI	0	0
X353	min_b7_TERM	3.25026842857143	0.0945886358824469
X354	min_NBR	0	0
X355	min_NDVI	0	0
X356	mingain_b3	0	0
X357	mingain_b4	0	0
X358	mingain_b5	0	0
X359	mingain_b7	0	0
X360	mingain_NBR	0	0
X361	mingain_NDVI	0	0
X362	minloss_b3	0	0
X363	minloss_b4	0	0
X364	minloss_b5	0	0
X365	minloss_b7	0	0
X366	minloss_NBR	0	0
X367	minloss_NDVI	2.52085557142857	0.0733614146025769
X368	reg_b3	0	0
X369	reg_b4	61.8363732857143	1.79954927586836
X370	reg_b5	415.589724285714	12.0944057301217
X371	reg_b7	41.7970077142857	1.21636782639521
X372	reg_NBR	12.5055991428571	0.363935345590968
X373	reg_NDVI	0	0
X374	sd_b3	0	0
X375	sd_b4	0	0
X376	sd_b5	0	0
X377	sd_b7	0	0
X378	sd_NBR	0	0
X379	sd_NDVI	20.107648	0.58516859050942
X380	slope	0	0
